model,train_dataset,test_dataset,shot,seed,category,auroc,aupr
visa_va_ta_pqa_2shot,visa,mvtec,2,7,metal_nut,1.0,1.0
visa_va_ta_pqa_2shot,visa,mvtec,2,7,pill,0.9626,0.9933
visa_va_ta_pqa_2shot,visa,mvtec,2,7,screw,0.6573,0.8585
visa_va_ta_pqa_2shot,visa,mvtec,2,7,tile,0.9996,0.9999
visa_va_ta_pqa_2shot,visa,mvtec,2,7,toothbrush,0.9861,0.9952
visa_va_ta_pqa_2shot,visa,mvtec,2,7,transistor,0.9475,0.9249
visa_va_ta_pqa_2shot,visa,mvtec,2,7,wood,0.993,0.998
visa_va_ta_pqa_2shot,visa,mvtec,2,7,zipper,0.9695,0.9917
visa_va_ta_pqa_4shot,visa,mvtec,4,42,bottle,0.9976,0.9992
visa_va_ta_pqa_4shot,visa,mvtec,4,42,cable,0.9621,0.9782
visa_va_ta_pqa_4shot,visa,mvtec,4,42,capsule,0.8213,0.9078
visa_va_ta_pqa_4shot,visa,mvtec,4,42,carpet,0.9996,0.9999
visa_va_ta_pqa_4shot,visa,mvtec,4,42,grid,0.9992,0.9997
visa_va_ta_pqa_4shot,visa,mvtec,4,42,hazelnut,1.0,1.0
visa_va_ta_pqa_4shot,visa,mvtec,4,42,leather,1.0,1.0
visa_va_ta_pqa_4shot,visa,mvtec,4,42,metal_nut,1.0,1.0
visa_va_ta_pqa_4shot,visa,mvtec,4,42,pill,0.9523,0.9911
visa_va_ta_pqa_4shot,visa,mvtec,4,42,screw,0.742,0.8809
visa_va_ta_pqa_4shot,visa,mvtec,4,42,tile,0.9996,0.9999
visa_va_ta_pqa_4shot,visa,mvtec,4,42,toothbrush,0.9972,0.9989
visa_va_ta_pqa_4shot,visa,mvtec,4,42,transistor,0.9525,0.931
visa_va_ta_pqa_4shot,visa,mvtec,4,42,wood,0.9939,0.9982
visa_va_ta_pqa_4shot,visa,mvtec,4,42,zipper,0.9798,0.9945
visa_va_ta_pqa_4shot,visa,mvtec,4,123,bottle,0.996,0.9987
visa_va_ta_pqa_4shot,visa,mvtec,4,123,cable,0.9591,0.978
visa_va_ta_pqa_4shot,visa,mvtec,4,123,capsule,0.8608,0.9269
visa_va_ta_pqa_4shot,visa,mvtec,4,123,carpet,0.9996,0.9999
visa_va_ta_pqa_4shot,visa,mvtec,4,123,grid,0.9975,0.9991
visa_va_ta_pqa_4shot,visa,mvtec,4,123,hazelnut,1.0,1.0
visa_va_ta_pqa_4shot,visa,mvtec,4,123,leather,0.9997,0.9999
visa_va_ta_pqa_4shot,visa,mvtec,4,123,metal_nut,0.9961,0.9991
visa_va_ta_pqa_4shot,visa,mvtec,4,123,pill,0.9599,0.9927
visa_va_ta_pqa_4shot,visa,mvtec,4,123,screw,0.7319,0.8906
visa_va_ta_pqa_4shot,visa,mvtec,4,123,tile,0.9989,0.9996
visa_va_ta_pqa_4shot,visa,mvtec,4,123,toothbrush,1.0,1.0
visa_va_ta_pqa_4shot,visa,mvtec,4,123,transistor,0.9458,0.9293
visa_va_ta_pqa_4shot,visa,mvtec,4,123,wood,0.9895,0.9969
visa_va_ta_pqa_4shot,visa,mvtec,4,123,zipper,0.9772,0.9939
visa_va_ta_pqa_4shot,visa,mvtec,4,7,bottle,0.996,0.9987
visa_va_ta_pqa_4shot,visa,mvtec,4,7,cable,0.9584,0.9776
visa_va_ta_pqa_4shot,visa,mvtec,4,7,capsule,0.8931,0.9595
visa_va_ta_pqa_4shot,visa,mvtec,4,7,carpet,0.9992,0.9998
visa_va_ta_pqa_4shot,visa,mvtec,4,7,grid,0.9992,0.9997
visa_va_ta_pqa_4shot,visa,mvtec,4,7,hazelnut,1.0,1.0
visa_va_ta_pqa_4shot,visa,mvtec,4,7,leather,1.0,1.0
visa_va_ta_pqa_4shot,visa,mvtec,4,7,metal_nut,1.0,1.0
